date,close,adj close,dividends,stock splits
2014-09-01,306.41748046875,306.41748046875,0.0,0.0
2014-10-01,270.1381530761719,270.1381530761719,0.0,0.0
2014-11-01,304.01849365234375,304.01849365234375,0.0,0.0
2014-12-01,264.7098083496094,264.7098083496094,0.0,0.0
2015-01-01,192.68475341796875,192.68475341796875,0.0,0.0
2015-02-01,227.1422119140625,227.1422119140625,0.0,0.0
2015-03-01,227.3966522216797,227.3966522216797,0.0,0.0
2015-04-01,210.65567016601562,210.65567016601562,0.0,0.0
2015-05-01,210.1040496826172,210.1040496826172,0.0,0.0
2015-06-01,236.29928588867188,236.29928588867188,0.0,0.0
2015-07-01,259.10247802734375,259.10247802734375,0.0,0.0
2015-08-01,204.96792602539062,204.96792602539062,0.0,0.0
2015-09-01,211.35284423828125,211.35284423828125,0.0,0.0
2015-10-01,285.4497375488281,285.4497375488281,0.0,0.0
2015-11-01,357.04107666015625,357.04107666015625,0.0,0.0
2015-12-01,396.6166076660156,396.6166076660156,0.0,0.0
2016-01-01,340.7253112792969,340.7253112792969,0.0,0.0
2016-02-01,402.18414306640625,402.18414306640625,0.0,0.0
2016-03-01,366.290771484375,366.290771484375,0.0,0.0
2016-04-01,391.3731994628906,391.3731994628906,0.0,0.0
2016-05-01,477.3499755859375,477.3499755859375,0.0,0.0
2016-06-01,606.5552368164062,606.5552368164062,0.0,0.0
2016-07-01,559.4993286132812,559.4993286132812,0.0,0.0
2016-08-01,515.9332885742188,515.9332885742188,0.0,0.0
2016-09-01,542.3240966796875,542.3240966796875,0.0,0.0
2016-10-01,639.1065063476562,639.1065063476562,0.0,0.0
2016-11-01,704.2793579101562,704.2793579101562,0.0,0.0
2016-12-01,916.7154541015625,916.7154541015625,0.0,0.0
2017-01-01,898.5213012695312,898.5213012695312,0.0,0.0
2017-02-01,1116.5499267578125,1116.5499267578125,0.0,0.0
2017-03-01,1006.4701538085938,1006.4701538085938,0.0,0.0
2017-04-01,1236.0294189453125,1236.0294189453125,0.0,0.0
2017-05-01,2034.353515625,2034.353515625,0.0,0.0
2017-06-01,2172.174072265625,2172.174072265625,0.0,0.0
2017-07-01,2433.017578125,2433.017578125,0.0,0.0
2017-08-01,3949.7734375,3949.7734375,0.0,0.0
2017-09-01,3673.137451171875,3673.137451171875,0.0,0.0
2017-10-01,5551.7978515625,5551.7978515625,0.0,0.0
2017-11-01,8601.109375,8601.109375,0.0,0.0
2017-12-01,11795.0341796875,11795.0341796875,0.0,0.0
2018-01-01,8232.2001953125,8232.2001953125,0.0,0.0
2018-02-01,8529.861328125,8529.861328125,0.0,0.0
2018-03-01,5659.873046875,5659.873046875,0.0,0.0
2018-04-01,7650.09521484375,7650.09521484375,0.0,0.0
2018-05-01,6411.30126953125,6411.30126953125,0.0,0.0
2018-06-01,5481.46875,5481.46875,0.0,0.0
2018-07-01,6657.345703125,6657.345703125,0.0,0.0
2018-08-01,6067.40234375,6067.40234375,0.0,0.0
2018-09-01,5708.814453125,5708.814453125,0.0,0.0
2018-10-01,5583.1943359375,5583.1943359375,0.0,0.0
