date,close,adj close,dividends,stock splits
2014-11-01,93.44000244140625,93.44000244140625,0.0,0.0
2014-12-01,98.19999694824219,98.19999694824219,0.0,0.0
2015-01-01,110.81999969482422,110.81999969482422,0.0,0.0
2015-02-01,106.72000122070312,106.72000122070312,0.0,0.0
2015-03-01,108.73999786376953,108.73999786376953,0.0,0.0
2015-04-01,103.61000061035156,103.61000061035156,0.0,0.0
2015-05-01,106.55999755859375,106.55999755859375,0.0,0.0
2015-06-01,103.19000244140625,103.19000244140625,0.0,0.0
2015-07-01,97.44000244140625,97.44000244140625,0.0,0.0
2015-08-01,99.43000030517578,99.43000030517578,0.0,0.0
2015-09-01,98.0199966430664,98.0199966430664,0.0,0.0
2015-10-01,101.73999786376953,101.73999786376953,0.0,0.0
2015-11-01,98.0199966430664,98.0199966430664,0.0,0.0
2015-12-01,95.43000030517578,95.43000030517578,0.0,0.0
2016-01-01,101.25,101.25,0.0,0.0
2016-02-01,111.44000244140625,111.44000244140625,0.0,0.0
2016-03-01,106.41000366210938,106.41000366210938,0.0,0.0
2016-04-01,110.75,110.75,0.0,0.0
2016-05-01,106.87999725341797,106.87999725341797,0.0,0.0
2016-06-01,116.5,116.5,0.0,0.0
2016-07-01,118.19000244140625,118.19000244140625,0.0,0.0
2016-08-01,114.86000061035156,114.86000061035156,0.0,0.0
2016-09-01,115.08000183105469,115.08000183105469,0.0,0.0
2016-10-01,113.70999908447266,113.70999908447266,0.0,0.0
2016-11-01,108.5199966430664,108.5199966430664,0.0,0.0
2016-12-01,107.19999694824219,107.19999694824219,0.0,0.0
2017-01-01,109.86000061035156,109.86000061035156,0.0,0.0
2017-02-01,115.79000091552734,115.79000091552734,0.0,0.0
2017-03-01,113.94999694824219,113.94999694824219,0.0,0.0
2017-04-01,113.70999908447266,113.70999908447266,0.0,0.0
2017-05-01,110.23999786376953,110.23999786376953,0.0,0.0
2017-06-01,106.45999908447266,106.45999908447266,0.0,0.0
2017-07-01,105.13999938964844,105.13999938964844,0.0,0.0
2017-08-01,108.31999969482422,108.31999969482422,0.0,0.0
2017-09-01,106.12999725341797,106.12999725341797,0.0,0.0
2017-10-01,106.44000244140625,106.44000244140625,0.0,0.0
2017-11-01,104.70999908447266,104.70999908447266,0.0,0.0
2017-12-01,105.93000030517578,105.93000030517578,0.0,0.0
2018-01-01,105.20999908447266,105.20999908447266,0.0,0.0
2018-02-01,105.33999633789062,105.33999633789062,0.0,0.0
2018-03-01,104.8499984741211,104.8499984741211,0.0,0.0
2018-04-01,106.04000091552734,106.04000091552734,0.0,0.0
2018-05-01,108.87000274658203,108.87000274658203,0.0,0.0
2018-06-01,104.48999786376953,104.48999786376953,0.0,0.0
2018-07-01,101.83999633789062,101.83999633789062,0.0,0.0
2018-08-01,100.77999877929688,100.77999877929688,0.0,0.0
2018-09-01,99.91000366210938,99.91000366210938,0.0,0.0
2018-10-01,104.5,104.5,0.0,0.0
2018-11-01,104.81999969482422,104.81999969482422,0.0,0.0
2018-12-01,108.62999725341797,108.62999725341797,0.0,0.0
2019-01-01,112.20999908447266,112.20999908447266,0.0,0.0
2019-02-01,112.27999877929688,112.27999877929688,0.0,0.0
2019-03-01,112.18000030517578,112.18000030517578,0.0,0.0
2019-04-01,111.38999938964844,111.38999938964844,0.0,0.0
2019-05-01,113.41999816894531,113.41999816894531,0.0,0.0
2019-06-01,120.44000244140625,120.44000244140625,0.0,0.0
2019-07-01,124.6500015258789,124.6500015258789,0.0,0.0
2019-08-01,135.1199951171875,135.1199951171875,0.0,0.0
2019-09-01,130.77000427246094,130.77000427246094,0.0,0.0
2019-10-01,131.63999938964844,131.63999938964844,0.0,0.0
2019-11-01,128.8699951171875,128.8699951171875,0.0,0.0
2019-12-01,131.11000061035156,131.11000061035156,0.0,0.0
2020-01-01,139.0,139.0,0.0,0.0
2020-02-01,140.49000549316406,140.49000549316406,0.0,0.0
2020-03-01,142.10000610351562,142.10000610351562,0.0,0.0
2020-04-01,150.8800048828125,150.8800048828125,0.0,0.0
2020-05-01,151.1699981689453,151.1699981689453,0.0,0.0
2020-06-01,153.75,153.75,0.0,0.0
2020-07-01,161.97000122070312,161.97000122070312,0.0,0.0
2020-08-01,159.5800018310547,159.5800018310547,0.0,0.0
2020-09-01,156.83999633789062,156.83999633789062,0.0,0.0
2020-10-01,156.55999755859375,156.55999755859375,0.0,0.0
2020-11-01,144.30999755859375,144.30999755859375,0.0,0.0
2020-12-01,148.6999969482422,148.6999969482422,0.0,0.0
2021-01-01,148.17999267578125,148.17999267578125,0.0,0.0
2021-02-01,137.89999389648438,137.89999389648438,0.0,0.0
2021-03-01,140.6199951171875,140.6199951171875,0.0,0.0
2021-04-01,142.2899932861328,142.2899932861328,0.0,0.0
2021-05-01,150.86000061035156,150.86000061035156,0.0,0.0
2021-06-01,144.05999755859375,144.05999755859375,0.0,0.0
2021-07-01,148.80999755859375,148.80999755859375,0.0,0.0
2021-08-01,148.11000061035156,148.11000061035156,0.0,0.0
2021-09-01,147.0399932861328,147.0399932861328,0.0,0.0
2021-10-01,148.80999755859375,148.80999755859375,0.0,0.0
2021-11-01,152.3699951171875,152.3699951171875,0.0,0.0
2021-12-01,154.8000030517578,154.8000030517578,0.0,0.0
2022-01-01,155.05999755859375,155.05999755859375,0.0,0.0
2022-02-01,163.47999572753906,163.47999572753906,0.0,0.0
2022-03-01,169.36000061035156,169.36000061035156,0.0,0.0
2022-04-01,174.92999267578125,174.92999267578125,0.0,0.0
2022-05-01,165.99000549316406,165.99000549316406,0.0,0.0
2022-06-01,167.0800018310547,167.0800018310547,0.0,0.0
2022-07-01,167.2899932861328,167.2899932861328,0.0,0.0
2022-08-01,165.2100067138672,165.2100067138672,0.0,0.0
2022-09-01,165.0399932861328,165.0399932861328,0.0,0.0
2022-10-01,160.14999389648438,160.14999389648438,0.0,0.0
2022-11-01,164.25999450683594,164.25999450683594,0.0,0.0
2022-12-01,164.1699981689453,164.1699981689453,0.0,0.0
2023-01-01,171.47999572753906,171.47999572753906,0.0,0.0
2023-02-01,166.30999755859375,166.30999755859375,0.0,0.0
2023-03-01,175.91000366210938,175.91000366210938,0.0,0.0
2023-04-01,174.10000610351562,174.10000610351562,0.0,0.0
2023-05-01,178.74000549316406,178.74000549316406,0.0,0.0
2023-06-01,169.63999938964844,169.63999938964844,0.0,0.0
2023-07-01,172.57000732421875,172.57000732421875,0.0,0.0
2023-08-01,172.77999877929688,172.77999877929688,0.0,0.0
2023-09-01,169.05999755859375,169.05999755859375,0.0,0.0
2023-10-01,182.0,182.0,0.0,0.0
2023-11-01,180.47000122070312,180.47000122070312,0.0,0.0
2023-12-01,180.4199981689453,180.4199981689453,0.0,0.0
2024-01-01,182.4199981689453,182.4199981689453,0.0,0.0
2024-02-01,182.42999267578125,182.42999267578125,0.0,0.0
2024-03-01,198.25999450683594,198.25999450683594,0.0,0.0
2024-04-01,207.3800048828125,207.3800048828125,0.0,0.0
2024-05-01,207.0500030517578,207.0500030517578,0.0,0.0
2024-06-01,209.44000244140625,209.44000244140625,0.0,0.0
2024-07-01,215.69000244140625,215.69000244140625,0.0,0.0
2024-08-01,218.30999755859375,218.30999755859375,0.0,0.0
2024-09-01,227.63999938964844,227.63999938964844,0.0,0.0
2024-10-01,243.38999938964844,243.38999938964844,0.0,0.0
2024-11-01,243.0399932861328,243.0399932861328,0.0,0.0
2024-12-01,241.1300048828125,241.1300048828125,0.0,0.0
2025-01-01,260.20001220703125,260.20001220703125,0.0,0.0
2025-02-01,263.739990234375,263.739990234375,0.0,0.0
2025-03-01,278.32000732421875,278.32000732421875,0.0,0.0
2025-04-01,280.9599914550781,280.9599914550781,0.0,0.0
2025-05-01,279.1400146484375,279.1400146484375,0.0,0.0
2025-06-01,269.5899963378906,269.5899963378906,0.0,0.0
2025-07-01,277.6099853515625,277.6099853515625,0.0,0.0
2025-08-01,283.5899963378906,283.5899963378906,0.0,0.0
2025-09-01,315.0899963378906,315.0899963378906,0.0,0.0
2025-10-01,332.4800109863281,332.4800109863281,0.0,0.0
2025-11-01,349.4800109863281,349.4800109863281,0.0,0.0
2025-12-01,357.2900085449219,357.2900085449219,0.0,0.0
2026-01-01,403.8299865722656,403.8299865722656,0.0,0.0
2026-02-01,425.94000244140625,425.94000244140625,0.0,0.0
2026-03-01,385.67999267578125,385.67999267578125,0.0,0.0
2026-04-01,379.3399963378906,379.3399963378906,0.0,0.0
2026-05-01,379.3399963378906,379.3399963378906,0.0,0.0
