date,close,adj close,dividends,stock splits,currency
2012-04-01,55.2400016784668,55.2400016784668,0.0,0.0,EUR
2012-05-01,54.029998779296875,54.029998779296875,0.0,0.0,EUR
2012-06-01,54.130001068115234,54.130001068115234,0.0,0.0,EUR
2012-07-01,54.130001068115234,54.130001068115234,0.0,0.0,EUR
2012-08-01,58.45000076293945,58.45000076293945,0.0,0.0,EUR
2012-09-01,58.20000076293945,58.20000076293945,0.0,0.0,EUR
2012-10-01,57.5,57.5,0.0,0.0,EUR
2012-11-01,58.33000183105469,58.33000183105469,0.0,0.0,EUR
2012-12-01,58.439998626708984,58.439998626708984,0.0,0.0,EUR
2013-01-01,60.43000030517578,60.43000030517578,0.0,0.0,EUR
2013-02-01,62.099998474121094,62.099998474121094,0.0,0.0,EUR
2013-03-01,64.75,64.75,0.0,0.0,EUR
2013-04-01,64.58000183105469,64.58000183105469,0.0,0.0,EUR
2013-05-01,65.26000213623047,65.26000213623047,0.0,0.0,EUR
2013-06-01,63.310001373291016,63.310001373291016,0.0,0.0,EUR
2013-07-01,65.1500015258789,65.1500015258789,0.0,0.0,EUR
2013-08-01,63.41999816894531,63.41999816894531,0.0,0.0,EUR
2013-09-01,65.69999694824219,65.69999694824219,0.0,0.0,EUR
2013-10-01,67.94999694824219,67.94999694824219,0.0,0.0,EUR
2013-11-01,69.80999755859375,69.80999755859375,0.0,0.0,EUR
2013-12-01,69.88999938964844,69.88999938964844,0.0,0.0,EUR
2014-01-01,67.58999633789062,67.58999633789062,0.0,0.0,EUR
2014-02-01,69.7699966430664,69.7699966430664,0.0,0.0,EUR
2014-03-01,69.6500015258789,69.6500015258789,0.0,0.0,EUR
2014-04-01,71.80000305175781,71.80000305175781,0.0,0.0,EUR
2014-05-01,72.58000183105469,72.58000183105469,0.0,0.0,EUR
2014-06-01,74.62999725341797,74.62999725341797,0.0,0.0,EUR
2014-07-01,75.6500015258789,75.6500015258789,0.0,0.0,EUR
2014-08-01,77.70999908447266,77.70999908447266,0.0,0.0,EUR
2014-09-01,78.5999984741211,78.5999984741211,0.0,0.0,EUR
2014-10-01,80.12999725341797,80.12999725341797,0.0,0.0,EUR
