date,close,adj close,dividends,stock splits,currency
2019-07-01,22.666223651100154,14.936493796496507,0.0,0.0,EUR
2019-07-02,23.030011441650117,15.176217620915395,0.0,0.0,EUR
2019-07-03,23.229321687105653,15.307559939060411,0.0,0.0,EUR
2019-07-05,23.01478334360536,15.166186599359662,0.0,0.0,EUR
2019-07-08,23.0855358682619,15.212809493222721,0.0,0.0,EUR
2019-07-09,23.08300528348809,15.211141434938327,0.0,0.0,EUR
2019-07-10,23.063370162849424,15.198204716254622,0.0,0.0,EUR
2019-07-11,22.76786241926004,15.003469500396704,0.0,0.0,EUR
2019-07-12,22.839590893707282,15.050739304193485,0.0,0.0,EUR
2019-07-15,22.91951916923381,15.103406734782652,0.0,0.0,EUR
2019-07-16,22.93156810944606,15.111347287918647,0.0,0.0,EUR
2019-07-17,23.12198769205429,15.236829548348851,0.0,0.0,EUR
2019-07-18,23.086212055480473,15.213254270837297,0.0,0.0,EUR
2019-07-19,23.006673765086816,15.160841292753503,0.0,0.0,EUR
2019-07-22,23.145200606106755,15.252126228560883,0.0,0.0,EUR
2019-07-23,23.314057753081215,15.363400452526093,0.0,0.0,EUR
2019-07-24,23.627831751109625,15.570165631379496,0.0,0.0,EUR
2019-07-25,23.438325753845675,15.445290078458129,0.0,0.0,EUR
2019-07-26,23.596468894025406,15.54950309607932,0.0,0.0,EUR
2019-07-29,23.59295093727951,15.547180516957383,0.0,0.0,EUR
2019-07-30,23.420866492348523,15.43378442760411,0.0,0.0,EUR
2019-07-31,23.4953039089894,15.482834837637483,0.0,0.0,EUR
2019-08-01,23.867962963792593,15.728410026347433,0.0,0.0,EUR
2019-08-02,23.673014552395102,15.599941298199383,0.0,0.0,EUR
2019-08-05,23.26336034875726,15.32998948862928,0.0,0.0,EUR
2019-08-06,23.342667165156854,15.382252576255269,0.0,0.0,EUR
2019-08-07,23.49425918804741,15.482149251345163,0.0,0.0,EUR
2019-08-08,23.735410734752236,15.641060312966488,0.0,0.0,EUR
2019-08-09,23.566252860873874,15.529591507317718,0.0,0.0,EUR
2019-08-12,23.856893679739755,15.721112997851833,0.0,0.0,EUR
2019-08-13,23.953700020350652,15.78490760140312,0.0,0.0,EUR
2019-08-14,24.382986179869818,16.06779840581885,0.0,0.0,EUR
2019-08-15,24.879519032823964,16.394999001397537,0.0,0.0,EUR
2019-08-16,24.875870788807106,16.392594574726786,0.0,0.0,EUR
2019-08-19,24.713684448116965,16.285717615402177,0.0,0.0,EUR
2019-08-20,24.848517150811404,16.37457076816645,0.0,0.0,EUR
2019-08-21,24.77519569499532,16.326252356730947,0.0,0.0,EUR
2019-08-22,24.656521820913895,16.24804661717053,0.0,0.0,EUR
2019-08-23,24.743737287018575,16.305523932212054,0.0,0.0,EUR
2019-08-26,24.750843231159593,16.31020708126698,0.0,0.0,EUR
2019-08-27,25.164565141887465,16.58283579862723,0.0,0.0,EUR
2019-08-28,25.287555069705718,16.66388712245032,0.0,0.0,EUR
2019-08-29,25.290776955233014,16.666009305699845,0.0,0.0,EUR
2019-08-30,25.472911101401337,16.786031079881468,0.0,0.0,EUR
2019-09-03,25.81022680468368,17.00831381996204,0.0,0.0,EUR
