date,close,adj close,dividends,stock splits,currency
2014-09-17,355.9573669433594,355.9573669433594,0.0,0.0,EUR
2014-09-18,328.53936767578125,328.53936767578125,0.0,0.0,EUR
2014-09-19,307.7611389160156,307.7611389160156,0.0,0.0,EUR
2014-09-20,318.75897216796875,318.75897216796875,0.0,0.0,EUR
2014-09-21,310.6324462890625,310.6324462890625,0.0,0.0,EUR
2014-09-22,312.9587707519531,312.9587707519531,0.0,0.0,EUR
2014-09-23,339.18975830078125,339.18975830078125,0.0,0.0,EUR
2014-09-24,331.25,331.25,0.0,0.0,EUR
2014-09-25,322.6766052246094,322.6766052246094,0.0,0.0,EUR
2014-09-26,318.8968505859375,318.8968505859375,0.0,0.0,EUR
2014-09-27,315.0291748046875,315.0291748046875,0.0,0.0,EUR
2014-09-28,297.5787048339844,297.5787048339844,0.0,0.0,EUR
2014-09-29,295.89959716796875,295.89959716796875,0.0,0.0,EUR
2014-09-30,306.41748046875,306.41748046875,0.0,0.0,EUR
2014-10-01,303.94976806640625,303.94976806640625,0.0,0.0,EUR
2014-10-02,296.054931640625,296.054931640625,0.0,0.0,EUR
2014-10-03,287.2648620605469,287.2648620605469,0.0,0.0,EUR
2014-10-04,262.7774658203125,262.7774658203125,0.0,0.0,EUR
2014-10-05,256.1620788574219,256.1620788574219,0.0,0.0,EUR
2014-10-06,261.0765075683594,261.0765075683594,0.0,0.0,EUR
2014-10-07,265.50860595703125,265.50860595703125,0.0,0.0,EUR
2014-10-08,277.032958984375,277.032958984375,0.0,0.0,EUR
2014-10-09,287.716552734375,287.716552734375,0.0,0.0,EUR
2014-10-10,286.3630676269531,286.3630676269531,0.0,0.0,EUR
2014-10-11,286.94677734375,286.94677734375,0.0,0.0,EUR
2014-10-12,299.5086669921875,299.5086669921875,0.0,0.0,EUR
2014-10-13,306.92926025390625,306.92926025390625,0.0,0.0,EUR
2014-10-14,317.118896484375,317.118896484375,0.0,0.0,EUR
2014-10-15,307.9352722167969,307.9352722167969,0.0,0.0,EUR
2014-10-16,298.8018493652344,298.8018493652344,0.0,0.0,EUR
2014-10-17,300.8215026855469,300.8215026855469,0.0,0.0,EUR
2014-10-18,306.8448486328125,306.8448486328125,0.0,0.0,EUR
2014-10-19,305.6221618652344,305.6221618652344,0.0,0.0,EUR
2014-10-20,299.21453857421875,299.21453857421875,0.0,0.0,EUR
2014-10-21,304.0237731933594,304.0237731933594,0.0,0.0,EUR
2014-10-22,303.1073303222656,303.1073303222656,0.0,0.0,EUR
2014-10-23,283.3559875488281,283.3559875488281,0.0,0.0,EUR
2014-10-24,282.82952880859375,282.82952880859375,0.0,0.0,EUR
2014-10-25,274.08917236328125,274.08917236328125,0.0,0.0,EUR
2014-10-26,279.8453674316406,279.8453674316406,0.0,0.0,EUR
2014-10-27,277.90032958984375,277.90032958984375,0.0,0.0,EUR
2014-10-28,280.77099609375,280.77099609375,0.0,0.0,EUR
2014-10-29,265.6883850097656,265.6883850097656,0.0,0.0,EUR
2014-10-30,273.877685546875,273.877685546875,0.0,0.0,EUR
2014-10-31,270.1381530761719,270.1381530761719,0.0,0.0,EUR
2014-11-01,260.09979248046875,260.09979248046875,0.0,0.0,EUR
2014-11-02,260.6927490234375,260.6927490234375,0.0,0.0,EUR
2014-11-03,262.23199462890625,262.23199462890625,0.0,0.0,EUR
2014-11-04,263.31927490234375,263.31927490234375,0.0,0.0,EUR
2014-11-05,272.0894470214844,272.0894470214844,0.0,0.0,EUR
2014-11-06,282.1861572265625,282.1861572265625,0.0,0.0,EUR
2014-11-07,274.98797607421875,274.98797607421875,0.0,0.0,EUR
2014-11-08,277.4558410644531,277.4558410644531,0.0,0.0,EUR
2014-11-09,291.5441589355469,291.5441589355469,0.0,0.0,EUR
2014-11-10,295.3110656738281,295.3110656738281,0.0,0.0,EUR
2014-11-11,294.7927551269531,294.7927551269531,0.0,0.0,EUR
2014-11-12,340.7844543457031,340.7844543457031,0.0,0.0,EUR
2014-11-13,337.3436279296875,337.3436279296875,0.0,0.0,EUR
2014-11-14,317.7206115722656,317.7206115722656,0.0,0.0,EUR
2014-11-15,300.4017333984375,300.4017333984375,0.0,0.0,EUR
2014-11-16,309.78515625,309.78515625,0.0,0.0,EUR
2014-11-17,311.2210693359375,311.2210693359375,0.0,0.0,EUR
2014-11-18,299.3919677734375,299.3919677734375,0.0,0.0,EUR
2014-11-19,303.52130126953125,303.52130126953125,0.0,0.0,EUR
