date,close,adj close,dividends,stock splits
2020-01-01,76.81999969482422,76.81999969482422,0.0,0.0
2020-02-01,70.23999786376953,70.23999786376953,0.0,0.0
2020-03-01,62.439998626708984,62.439998626708984,0.0,0.0
2020-04-01,68.37999725341797,68.37999725341797,0.0,0.0
2020-05-01,69.7699966430664,69.7699966430664,0.0,0.0
2020-06-01,71.5999984741211,71.5999984741211,0.0,0.0
2020-07-01,71.51000213623047,71.51000213623047,0.0,0.0
2020-08-01,75.2300033569336,75.2300033569336,0.0,0.0
2020-09-01,74.69999694824219,74.69999694824219,0.0,0.0
2020-10-01,73.13999938964844,73.13999938964844,0.0,0.0
2020-11-01,79.80999755859375,79.80999755859375,0.0,0.0
2020-12-01,81.38999938964844,81.38999938964844,0.0,0.0
2021-01-01,82.33000183105469,82.33000183105469,0.0,0.0
2021-02-01,84.30000305175781,84.30000305175781,0.0,0.0
2021-03-01,89.4000015258789,89.4000015258789,0.0,0.0
2021-04-01,90.73999786376953,90.73999786376953,0.0,0.0
2021-05-01,90.58000183105469,90.58000183105469,0.0,0.0
2021-06-01,94.66000366210938,94.66000366210938,0.0,0.0
2021-07-01,95.43000030517578,95.43000030517578,0.0,0.0
2021-08-01,98.01000213623047,98.01000213623047,0.0,0.0
2021-09-01,96.58999633789062,96.58999633789062,0.0,0.0
2021-10-01,100.66000366210938,100.66000366210938,0.0,0.0
2021-11-01,100.93000030517578,100.93000030517578,0.0,0.0
2021-12-01,104.94000244140625,104.94000244140625,0.0,0.0
2022-01-01,99.62999725341797,99.62999725341797,0.0,0.0
2022-02-01,97.80000305175781,97.80000305175781,0.0,0.0
2022-03-01,101.75,101.75,0.0,0.0
2022-04-01,99.23999786376953,99.23999786376953,0.0,0.0
2022-05-01,96.20999908447266,96.20999908447266,0.0,0.0
2022-06-01,90.52999877929688,90.52999877929688,0.0,0.0
2022-07-01,98.55000305175781,98.55000305175781,0.0,0.0
2022-08-01,97.0999984741211,97.0999984741211,0.0,0.0
2022-09-01,91.33999633789062,91.33999633789062,0.0,0.0
2022-10-01,94.56999969482422,94.56999969482422,0.0,0.0
2022-11-01,95.87000274658203,95.87000274658203,0.0,0.0
2022-12-01,90.44000244140625,90.44000244140625,0.0,0.0
2023-01-01,95.08999633789062,95.08999633789062,0.0,0.0
2023-02-01,95.13999938964844,95.13999938964844,0.0,0.0
2023-03-01,95.30000305175781,95.30000305175781,0.0,0.0
2023-04-01,95.25,95.25,0.0,0.0
2023-05-01,97.5199966430664,97.5199966430664,0.0,0.0
2023-06-01,100.94999694824219,100.94999694824219,0.0,0.0
2023-07-01,103.6500015258789,103.6500015258789,0.0,0.0
2023-08-01,102.66999816894531,102.66999816894531,0.0,0.0
2023-09-01,101.11000061035156,101.11000061035156,0.0,0.0
2023-10-01,97.56999969482422,97.56999969482422,0.0,0.0
2023-11-01,103.13999938964844,103.13999938964844,0.0,0.0
2023-12-01,106.62000274658203,106.62000274658203,0.0,0.0
2024-01-01,110.12000274658203,110.12000274658203,0.0,0.0
2024-02-01,114.20999908447266,114.20999908447266,0.0,0.0
2024-03-01,118.2699966430664,118.2699966430664,0.0,0.0
2024-04-01,116.23999786376953,116.23999786376953,0.0,0.0
2024-05-01,117.5199966430664,117.5199966430664,0.0,0.0
2024-06-01,123.19000244140625,123.19000244140625,0.0,0.0
2024-07-01,123.52999877929688,123.52999877929688,0.0,0.0
2024-08-01,123.0,123.0,0.0,0.0
2024-09-01,125.22000122070312,125.22000122070312,0.0,0.0
2024-10-01,126.20999908447266,126.20999908447266,0.0,0.0
2024-11-01,134.5399932861328,134.5399932861328,0.0,0.0
2024-12-01,133.6300048828125,133.6300048828125,0.0,0.0
2025-01-01,138.89999389648438,138.89999389648438,0.0,0.0
2025-02-01,135.72000122070312,135.72000122070312,0.0,0.0
2025-03-01,126.04000091552734,126.04000091552734,0.0,0.0
2025-04-01,121.0199966430664,121.0199966430664,0.0,0.0
2025-05-01,128.52999877929688,128.52999877929688,0.0,0.0
2025-06-01,129.77000427246094,129.77000427246094,0.0,0.0
2025-07-01,135.85000610351562,135.85000610351562,0.0,0.0
2025-08-01,135.4600067138672,135.4600067138672,0.0,0.0
2025-09-01,139.49000549316406,139.49000549316406,0.0,0.0
2025-10-01,145.5,145.5,0.0,0.0
2025-11-01,144.72000122070312,144.72000122070312,0.0,0.0
2025-12-01,145.4499969482422,145.4499969482422,0.0,0.0
2026-01-01,147.13999938964844,147.13999938964844,0.0,0.0
2026-02-01,149.86000061035156,149.86000061035156,0.0,0.0
2026-03-01,141.80999755859375,141.80999755859375,0.0,0.0
2026-04-01,154.0,154.0,0.0,0.0
2026-05-01,154.0,154.0,0.0,0.0
